theta1,theta2,theta3,L1,L2,L3,roll,pitch,yaw
7,106,109,2.3255854780996543,16.83775804095728,16.994837673636766,0.91,5.90,1.27
154,152,65,19.351032163829114,19.246312408709453,14.707184626965642,7.11,-5.86,2.14
183,138,1,20.86946861306418,18.513274122871834,0.385004883279187,25.63,-19.60,7.92
90,130,137,16.0,18.094395102393197,18.460914245312004,-0.73,0.09,1.34
195,56,163,21.49778714378214,13.617072883547621,19.822271061867582,-8.83,-1.39,0.40
11,27,42,3.55835397504017,7.9679225600762535,11.28614033248413,-2.89,-5.29,0.55
106,168,12,16.83775804095728,20.084070449666733,3.8586926565269692,24.31,-11.31,5.68
1,110,80,0.385004883279187,17.047197551196597,15.79244135387939,3.58,4.57,1.55
58,171,131,13.887353348741506,20.24115008234622,18.146754979953023,5.00,7.22,1.70
14,47,164,4.449773801476823,12.205766788797881,19.874630939427412,-8.96,6.95,0.95
197,25,38,21.602506898901797,7.4642593033726214,10.482241390103653,-1.63,-4.39,0.96
131,18,87,18.146754979953023,5.5928861093607765,15.981308661506603,-12.64,-11.36,-1.40
151,187,113,19.193952531149623,21.0789081233035,17.204277183876087,-15.03,-12.00,-1.92
179,195,150,20.66002910282486,21.49778714378214,19.141592653589793,-18.93,-12.79,-2.95
150,113,162,19.141592653589793,17.204277183876087,19.76991118430775,-5.05,-3.93,0.83
134,73,147,18.303834612632514,15.400892767899983,18.984513020910303,-6.82,-5.28,0.43
121,30,140,17.62315620435473,8.696960070847283,18.617993877991495,-13.34,-8.22,-0.94
157,78,126,19.5081117965086,15.701201093766748,17.884955592153876,-4.81,-7.77,0.50
103,197,8,16.68067840827779,21.602506898901797,2.638439589399816,17.01,-18.62,5.97
93,188,38,16.15707963267949,21.13126800086333,10.482241390103653,6.44,-11.20,2.96
85,93,188,15.948085017929593,16.15707963267949,21.13126800086333,7.86,-9.98,3.12
120,11,146,17.570796326794895,3.55835397504017,18.932153143350472,-20.65,-9.97,-1.76
187,110,9,21.0789081233035,17.047197551196597,2.9482025545832684,19.49,-17.56,6.15
87,68,103,15.981308661506603,14.997923866109716,16.68067840827779,-2.97,-4.82,1.34
73,100,74,15.400892767899983,16.5235987755983,15.46918894115717,1.77,-4.55,1.90
105,183,152,16.78539816339745,20.86946861306418,19.246312408709453,-4.62,-1.60,1.25
170,187,102,20.188790204786393,21.0789081233035,16.62831853071796,-1.08,-8.80,1.26
10,105,110,3.2548490294356114,16.78539816339745,17.047197551196597,0.43,3.01,1.78
0,196,142,0.05124837953326988,21.550147021341967,18.722713633111155,-2.11,6.81,1.84
185,60,47,20.97418836818384,14.14167955265112,12.205766788797881,3.31,-0.20,1.86
124,131,158,17.780235837034216,18.146754979953023,19.56047167406843,-2.22,1.54,1.65
186,19,0,21.02654824574367,5.870393709947933,0.05124837953326988,9.18,-23.57,4.79
15,55,82,4.740468306292527,13.475976088430102,15.86713135486815,-1.40,3.01,1.82
74,61,6,15.46918894115717,14.262834704032542,2.0096658716147076,17.34,-14.18,5.42
2,68,165,0.7158563429488609,14.997923866109716,19.926990816987242,-6.84,9.48,1.97
70,118,123,15.171384800269436,17.466076571675238,17.727875959474385,-0.03,3.44,1.95
89,106,119,15.99792307655433,16.83775804095728,17.518436449235068,-0.75,1.42,1.81
130,55,132,18.094395102393197,13.475976088430102,18.199114857512857,-6.46,-3.83,0.79
193,174,195,21.39306738866248,20.39822971502571,21.49778714378214,3.85,1.01,2.38
10,73,55,3.2548490294356114,15.400892767899983,13.475976088430102,2.80,2.10,2.01
130,95,45,18.094395102393197,16.26179938779915,11.849387132784805,5.45,-8.04,2.83
105,94,148,16.78539816339745,16.20943951023932,19.036872898470133,-4.30,-0.27,1.67
73,153,74,15.400892767899983,19.298672286269284,15.46918894115717,6.91,-0.68,2.82
160,141,156,19.66519142918809,18.670353755551325,19.45575191894877,-1.50,-1.92,2.05
44,143,40,11.665447355061374,18.775073510670985,10.891696849574167,11.65,-2.06,3.45
137,79,135,18.460914245312004,15.748888346444957,18.356194490192344,-4.71,-3.95,1.52
149,129,10,19.089232776029963,18.042035224833366,3.2548490294356114,20.65,-17.16,7.37
7,17,55,2.3255854780996543,5.312047538836488,13.475976088430102,-8.81,-6.10,1.02
187,173,26,21.0789081233035,20.34586983746588,7.717841561694776,19.61,0.08,3.93
45,112,172,11.849387132784805,17.151917306316257,20.293509959906054,-4.14,8.51,2.31
195,153,53,21.49778714378214,19.298672286269284,13.181924696880806,10.06,2.94,3.14
183,117,55,20.86946861306418,17.413716694115408,13.475976088430102,6.66,1.48,2.97
17,176,77,5.312047538836488,20.50294947014537,15.649383319282322,10.57,8.20,2.95
176,199,54,20.50294947014537,21.707226654021458,13.330922899968243,11.16,-8.18,4.41
128,2,161,17.989675347273536,0.7158563429488609,19.71755130674792,-25.24,-11.42,-1.87
55,70,116,13.475976088430102,15.171384800269436,17.361356816555578,-3.32,-1.55,2.59
94,181,130,16.20943951023932,20.764748857944518,18.094395102393197,-4.57,-2.38,2.36
80,4,186,15.79244135387939,1.368734320216035,21.02654824574367,-20.89,-9.39,-1.01
159,7,154,19.61283155162826,2.3255854780996543,19.351032163829114,-23.00,-13.05,-2.46
79,102,165,15.748888346444957,16.62831853071796,19.926990816987242,-5.56,-0.13,2.41
53,132,36,13.181924696880806,18.199114857512857,10.057903322897012,11.82,-5.44,4.07
32,163,17,9.165121159920353,19.822271061867582,5.312047538836488,21.91,-5.73,5.32
107,183,110,16.89011791851711,20.86946861306418,17.047197551196597,5.63,0.87,3.35
67,116,146,14.90507657149427,17.361356816555578,18.932153143350472,-2.04,2.59,2.70
119,128,71,17.518436449235068,17.989675347273536,15.251984879808546,4.58,-3.86,3.35
107,56,120,16.89011791851711,13.617072883547621,17.570796326794895,-4.91,-3.54,2.18
153,128,154,19.298672286269284,17.989675347273536,19.351032163829114,-2.63,-2.19,2.63
30,77,48,8.696960070847283,15.649383319282322,12.378178619099486,4.06,-1.96,3.22
120,4,14,17.570796326794895,1.368734320216035,4.449773801476823,-2.35,-22.65,2.03
10,119,125,3.2548490294356114,17.518436449235068,17.832595714594046,0.38,5.73,3.24
98,131,101,16.418879020478638,18.146754979953023,16.57595865315813,2.60,0.05,3.25
109,151,22,16.994837673636766,19.193952531149623,6.682708874626385,18.33,-9.14,5.81
17,52,124,5.312047538836488,13.028993171212555,17.780235837034216,-5.14,3.05,2.68
95,71,153,16.26179938779915,15.251984879808546,19.298672286269284,-6.48,0.91,2.42
25,178,16,7.4642593033726214,20.607669225265028,5.0279006281868845,23.95,-3.66,5.59
142,197,88,18.722713633111155,21.602506898901797,15.991692468305096,8.60,-2.12,4.14
132,117,4,18.199114857512857,17.413716694115408,1.368734320216035,22.75,-17.44,8.73
143,195,149,18.775073510670985,21.49778714378214,19.089232776029963,-3.07,-1.60,3.07
7,136,102,2.3255854780996543,18.408554367752174,16.62831853071796,3.61,5.76,3.48
167,45,163,20.031710572106903,11.849387132784805,19.822271061867582,-11.49,-6.59,1.15
140,198,96,18.617993877991495,21.654866776461628,16.31415926535898,-6.02,-8.87,1.93
51,7,167,12.87214032778536,2.3255854780996543,20.031710572106903,-22.74,-5.21,0.41
197,178,50,21.602506898901797,20.607669225265028,12.711378483641944,12.52,-0.78,4.37
9,130,160,2.9482025545832684,18.094395102393197,19.66519142918809,-1.32,9.88,3.42
116,161,93,17.361356816555578,19.71755130674792,16.15707963267949,6.23,-0.01,3.97
9,153,98,2.9482025545832684,19.298672286269284,16.418879020478638,6.12,7.46,3.69
130,34,143,18.094395102393197,9.618816884063733,18.775073510670985,-11.90,-5.59,1.23
89,88,31,15.99792307655433,15.991692468305096,8.932839602563512,9.38,-9.58,5.05
92,1,74,16.10471975511966,0.385004883279187,15.46918894115717,-17.28,-12.39,-0.09
94,93,165,16.20943951023932,16.15707963267949,19.926990816987242,-6.02,0.87,3.07
149,165,137,19.089232776029963,19.926990816987242,18.460914245312004,2.23,-0.99,3.83
58,41,48,13.887353348741506,11.09080298304032,12.378178619099486,-0.86,-7.59,3.24
143,29,15,18.775073510670985,8.457501307691139,4.740468306292527,6.04,-20.44,5.27
189,9,188,21.18362787842316,2.9482025545832684,21.13126800086333,-0.91,-23.02,3.14
154,43,101,19.351032163829114,11.477693490231381,16.57595865315813,-6.62,-9.39,2.52
71,116,164,15.251984879808546,17.361356816555578,19.874630939427412,-4.12,1.55,3.59
77,112,5,15.649383319282322,17.151917306316257,1.69070672919662,21.80,-15.91,8.21
11,12,182,3.55835397504017,3.8586926565269692,20.81710873550435,5.75,-16.75,4.90
92,123,1,16.10471975511966,17.727875959474385,0.385004883279187,24.56,-14.94,8.60
124,4,37,17.780235837034216,1.368734320216035,10.271924406583437,-10.76,-17.38,0.98
2,4,163,0.7158563429488609,1.368734320216035,19.822271061867582,-23.37,-2.20,1.42
191,73,175,21.28834763354282,15.400892767899983,20.45058959258554,-7.86,8.16,3.84
106,159,26,16.83775804095728,19.61283155162826,7.717841561694776,17.73,-7.38,5.85
96,59,163,16.31415926535898,14.016515832834287,19.822271061867582,-8.27,0.49,2.71
158,177,84,19.56047167406843,20.5553093477052,15.925247774155828,7.74,-4.38,4.49
147,156,148,18.984513020910303,19.45575191894877,19.036872898470133,0.55,-1.17,3.70
5,54,194,1.69070672919662,13.330922899968243,21.445427266222307,-7.15,4.32,3.11
159,30,123,19.61283155162826,8.696960070847283,17.727875959474385,-12.02,-10.26,0.63
83,24,47,15.89826251769707,7.207196026308502,12.205766788797881,-5.99,-12.10,1.93
2,47,76,0.7158563429488609,12.205766788797881,15.59343906930571,-2.37,-0.41,3.31
49,192,188,12.546720267483146,21.34070751110265,21.13126800086333,-2.52,-1.85,3.18
104,133,158,16.73303828583762,18.251474735072684,19.56047167406843,-2.03,2.62,3.55
42,14,167,11.28614033248413,4.449773801476823,20.031710572106903,-19.50,-1.14,1.49
128,106,191,17.989675347273536,16.83775804095728,21.28834763354282,-5.59,0.03,3.09
0,192,118,0.05124837953326988,21.34070751110265,17.466076571675238,-0.32,4.90,3.75
198,118,68,21.654866776461628,17.466076571675238,14.997923866109716,4.89,3.59,3.92
175,179,119,20.45058959258554,20.66002910282486,17.518436449235068,5.59,-2.30,4.34
163,196,179,19.822271061867582,21.550147021341967,20.66002910282486,-0.02,0.64,3.90
116,66,40,17.361356816555578,14.808160965265309,10.891696849574167,4.59,-11.09,4.49
32,30,14,9.165121159920353,8.696960070847283,4.449773801476823,7.61,-12.25,5.19
155,171,111,19.403392041388944,20.24115008234622,17.099557428756427,5.16,-2.66,4.41
179,196,100,20.66002910282486,21.550147021341967,16.5235987755983,5.51,-5.70,4.57
16,103,193,5.0279006281868845,16.68067840827779,21.39306738866248,0.78,1.92,3.84
55,128,81,13.475976088430102,17.989675347273536,15.831856715715055,4.10,0.61,4.17
105,29,37,16.78539816339745,8.457501307691139,10.271924406583437,-1.44,-12.66,3.35
97,86,57,16.366519142918808,15.966772466552335,13.754202220468997,2.93,-6.18,4.17
177,82,154,20.5553093477052,15.86713135486815,19.351032163829114,-6.85,-6.71,2.70
106,157,129,16.83775804095728,19.5081117965086,18.042035224833366,2.24,-1.45,4.14
180,41,66,20.712388980384688,11.09080298304032,14.808160965265309,-4.90,-14.58,2.43
52,133,60,13.028993171212555,18.251474735072684,14.14167955265112,6.35,-1.66,4.45
90,16,132,16.0,5.0279006281868845,18.199114857512857,-16.49,-7.22,1.03
6,114,185,2.0096658716147076,17.256637061435917,20.97418836818384,-0.86,5.94,4.09
47,27,35,12.205766788797881,7.9679225600762535,9.840195070521261,-0.76,-8.25,3.40
58,183,110,13.887353348741506,20.86946861306418,17.047197551196597,-10.41,-3.16,2.25
142,174,4,18.722713633111155,20.39822971502571,1.368734320216035,28.48,-16.82,9.82
71,72,5,15.251984879808546,15.328489528448422,1.69070672919662,19.38,-17.02,8.40
80,71,179,15.79244135387939,15.251984879808546,20.66002910282486,-9.26,0.97,3.16
117,81,80,17.413716694115408,15.831856715715055,15.79244135387939,-0.29,-5.96,3.58
191,175,0,21.28834763354282,20.45058959258554,0.05124837953326988,29.94,-16.18,9.98
