theta1,theta2,theta3,L1,L2,L3,roll,pitch,yaw
137,79,135,18.460914245312004,15.748888346444957,18.356194490192344,-8.48,4.66,2.62
149,129,10,19.089232776029963,18.042035224833366,3.2548490294356114,15.27,-9.28,4.38
7,17,55,2.3255854780996543,5.312047538836488,13.475976088430102,-12.12,3.68,2.90
187,173,26,21.0789081233035,20.34586983746588,7.717841561694776,17.49,15.29,-0.02
45,112,172,11.849387132784805,17.151917306316257,20.293509959906054,-7.32,20.37,3.36
195,153,53,21.49778714378214,19.298672286269284,13.181924696880806,7.31,15.28,1.50
183,117,55,20.86946861306418,17.413716694115408,13.475976088430102,3.79,13.78,2.01
17,176,77,5.312047538836488,20.50294947014537,15.649383319282322,8.05,22.83,1.06
176,199,54,20.50294947014537,21.707226654021458,13.330922899968243,7.95,1.49,2.89
128,2,161,17.989675347273536,0.7158563429488609,19.71755130674792,-28.52,-2.31,2.74
55,70,116,13.475976088430102,15.171384800269436,17.361356816555578,-6.86,8.54,3.70
94,181,130,16.20943951023932,20.764748857944518,18.094395102393197,-8.14,7.16,3.64
80,4,186,15.79244135387939,1.368734320216035,21.02654824574367,-24.49,0.03,3.02
159,7,154,19.61283155162826,2.3255854780996543,19.351032163829114,-26.81,-4.26,1.74
79,102,165,15.748888346444957,16.62831853071796,19.926990816987242,-9.16,9.39,3.84
53,132,36,13.181924696880806,18.199114857512857,10.057903322897012,7.35,4.01,2.53
32,163,17,9.165121159920353,19.822271061867582,5.312047538836488,16.82,5.65,2.05
107,183,110,16.89011791851711,20.86946861306418,17.047197551196597,-0.11,9.23,3.09
67,116,146,14.90507657149427,17.361356816555578,18.932153143350472,-6.74,11.49,3.73
119,128,71,17.518436449235068,17.989675347273536,15.251984879808546,-0.30,4.77,3.14
107,56,120,16.89011791851711,13.617072883547621,17.570796326794895,-8.57,5.58,3.58
153,128,154,19.298672286269284,17.989675347273536,19.351032163829114,-6.13,6.70,3.64
30,77,48,8.696960070847283,15.649383319282322,12.378178619099486,0.97,10.93,2.93
120,4,14,17.570796326794895,1.368734320216035,4.449773801476823,-6.26,-13.62,2.97
10,119,125,3.2548490294356114,17.518436449235068,17.832595714594046,-2.17,24.20,3.61
98,131,101,16.418879020478638,18.146754979953023,16.57595865315813,-0.74,10.66,3.31
109,151,22,16.994837673636766,19.193952531149623,6.682708874626385,13.11,0.07,3.41
17,52,124,5.312047538836488,13.028993171212555,17.780235837034216,-8.15,18.39,4.21
95,71,153,16.26179938779915,15.251984879808546,19.298672286269284,-9.95,10.96,4.09
25,178,16,7.4642593033726214,20.607669225265028,5.0279006281868845,21.24,10.24,1.50
142,197,88,18.722713633111155,21.602506898901797,15.991692468305096,5.34,7.22,3.37
132,117,4,18.199114857512857,17.413716694115408,1.368734320216035,19.16,-8.28,5.74
143,195,149,18.775073510670985,21.49778714378214,19.089232776029963,-6.32,7.23,4.31
7,136,102,2.3255854780996543,18.408554367752174,16.62831853071796,-0.11,25.69,3.23
167,45,163,20.031710572106903,11.849387132784805,19.822271061867582,-14.70,2.76,3.76
140,198,96,18.617993877991495,21.654866776461628,16.31415926535898,-9.40,0.15,3.63
51,7,167,12.87214032778536,2.3255854780996543,20.031710572106903,-26.06,4.47,4.94
197,178,50,21.602506898901797,20.607669225265028,12.711378483641944,9.36,9.45,2.94
9,130,160,2.9482025545832684,18.094395102393197,19.66519142918809,-3.90,30.52,4.17
116,161,93,17.361356816555578,19.71755130674792,16.15707963267949,0.87,8.56,3.89
9,153,98,2.9482025545832684,19.298672286269284,16.418879020478638,1.87,26.92,3.14
130,34,143,18.094395102393197,9.618816884063733,18.775073510670985,-15.29,3.66,4.03
89,88,31,15.99792307655433,15.991692468305096,8.932839602563512,5.97,-0.34,4.32
92,1,74,16.10471975511966,0.385004883279187,15.46918894115717,-20.94,-3.51,3.61
94,93,165,16.20943951023932,16.15707963267949,19.926990816987242,-9.65,9.94,4.92
149,165,137,19.089232776029963,19.926990816987242,18.460914245312004,-3.27,7.12,4.33
58,41,48,13.887353348741506,11.09080298304032,12.378178619099486,-4.33,1.89,4.26
143,29,15,18.775073510670985,8.457501307691139,4.740468306292527,2.21,-11.89,5.18
189,9,188,21.18362787842316,2.9482025545832684,21.13126800086333,-4.73,-14.88,4.21
154,43,101,19.351032163829114,11.477693490231381,16.57595865315813,-10.28,-1.18,4.38
71,116,164,15.251984879808546,17.361356816555578,19.874630939427412,-7.66,10.54,5.12
77,112,5,15.649383319282322,17.151917306316257,1.69070672919662,17.91,-6.69,5.45
11,12,182,3.55835397504017,3.8586926565269692,20.81710873550435,2.64,-3.63,4.56
92,123,1,16.10471975511966,17.727875959474385,0.385004883279187,21.20,-5.31,5.53
124,4,37,17.780235837034216,1.368734320216035,10.271924406583437,-14.13,-8.84,3.50
2,4,163,0.7158563429488609,1.368734320216035,19.822271061867582,-26.71,10.28,6.66
191,73,175,21.28834763354282,15.400892767899983,20.45058959258554,-10.84,26.71,6.82
106,159,26,16.83775804095728,19.61283155162826,7.717841561694776,12.44,1.37,3.94
96,59,163,16.31415926535898,14.016515832834287,19.822271061867582,-11.75,9.83,5.00
158,177,84,19.56047167406843,20.5553093477052,15.925247774155828,4.44,4.59,4.08
147,156,148,18.984513020910303,19.45575191894877,19.036872898470133,-2.78,7.66,4.49
5,54,194,1.69070672919662,13.330922899968243,21.445427266222307,-10.11,19.33,5.32
159,30,123,19.61283155162826,8.696960070847283,17.727875959474385,-15.61,-1.51,3.43
83,24,47,15.89826251769707,7.207196026308502,12.205766788797881,-9.60,-3.42,3.82
2,47,76,0.7158563429488609,12.205766788797881,15.59343906930571,-4.97,18.15,4.61
49,192,188,12.546720267483146,21.34070751110265,21.13126800086333,-5.63,10.64,4.39
104,133,158,16.73303828583762,18.251474735072684,19.56047167406843,-5.44,12.45,4.75
42,14,167,11.28614033248413,4.449773801476823,20.031710572106903,-22.93,8.74,5.74
128,106,191,17.989675347273536,16.83775804095728,21.28834763354282,-9.16,9.36,4.94
0,192,118,0.05124837953326988,21.34070751110265,17.466076571675238,-3.16,23.25,4.83
198,118,68,21.654866776461628,17.466076571675238,14.997923866109716,2.76,25.46,3.60
175,179,119,20.45058959258554,20.66002910282486,17.518436449235068,-0.09,7.53,4.58
163,196,179,19.822271061867582,21.550147021341967,20.66002910282486,-5.91,9.32,5.08
116,66,40,17.361356816555578,14.808160965265309,10.891696849574167,1.24,-1.57,4.77
32,30,14,9.165121159920353,8.696960070847283,4.449773801476823,4.24,-1.20,4.96
155,171,111,19.403392041388944,20.24115008234622,17.099557428756427,1.93,6.29,4.76
179,196,100,20.66002910282486,21.550147021341967,16.5235987755983,2.15,3.00,4.86
16,103,193,5.0279006281868845,16.68067840827779,21.39306738866248,-2.03,19.00,4.74
